"","Country","ptap","bore","pspr","uspr","pwel","uwel","surw","tles","tmor","rain","phom","imws","pipy","truc","ctan","bott","uiws","othw","iwsp","basw","liws","watp"
"1","Afghanistan",14.2,20.1,4.7,8.6,18.5,11.1,7.3,45.2,8.2,0.4,2.3,71.2,4.8,1.5,4.4,0.2,28.7,1.7,35.4,65.3,5,45.3
"2","Albania",2.4,1.4,2.5,0.8,4.1,0.8,0,20.6,1.1,0,48.8,98.4,5.2,14.1,0.2,19.6,1.6,0.1,77,97,0.9,77.9
"3","Angola",10.3,1.9,3.3,4.8,9.1,8.3,18,46.1,15.6,1.7,4.3,66.9,9.7,9.7,4.3,1.2,33.1,1.8,32.6,57,7.5,34.5
"4","Armenia",0.5,0.2,1,0.1,0.2,0,0,1.6,0.1,0,88.3,99.9,8,1.5,0,0,0.1,0,97.6,99.1,0.1,97.6
"5","Azerbaijan",3.5,9.3,7.5,1.1,6.2,0.2,7,18.7,4.4,0,34,90.6,19.7,9.5,0.7,0.1,9.4,1.1,71.2,86.4,3.4,75.9
"6","Bangladesh",2.7,86.4,0,0.3,0.2,0.6,1.2,22.7,1.6,0.4,4.3,97.8,3.3,0,0.1,0.3,2.2,0.1,75.1,96.4,1.3,75.5
"7","Benin",13,28.9,0.3,1.2,4.4,20.8,5.8,49.8,12.1,0.4,5.1,71.7,4.2,0.2,0.3,0,28.3,0.4,29.6,64,7.3,37.4
"8","Bolivia",5.3,0,0,0,1.7,6.2,5.2,11.2,0.7,0,24.6,87.3,54.1,1.7,0,0,12.3,0.9,85.7,87.3,0,88
"9","Brazil",0,0,0,0,0,0,0,0,0,0,69.2,76,3.5,0,0,3.3,24,2.7,0,0,0,0
"10","Burkina Faso",18.4,40.6,0.2,1.5,9,16.3,0.8,49.8,32.6,0,2.6,80.9,9.6,0,0.2,0.2,19.1,0.5,14.4,52.1,28.5,17.1
"11","Burundi",24,0.6,47.9,10.9,1.8,1.7,4.3,64.9,25.5,0,1.1,82.9,5,0,0,0.1,17.1,0.1,9.5,63.1,19.9,9.6
"12","Cambodia",0.7,23,0.2,0.7,2.6,8.2,7.3,0,0,35.5,9.4,83.7,1.8,0.4,0.6,9.6,16.2,0,0,0,0,0
"13","Cameroon",10.6,29.9,5.1,6,3.9,9.5,5.6,54.6,10.9,0.5,8.3,78.8,6.9,0.1,0.4,2.9,21.2,0.1,32.7,71,7.5,34.2
"14","Central African Republic",14.6,0,0,0,0,0,9.4,75.1,17.4,0,0,16.3,1.7,0,0,0,83.6,0.6,1.8,15.2,1.1,7.5
"15","Chad",10.3,31.4,0.2,2.6,7.6,33,8.4,57.2,26,0,2.6,55.8,3,0,0.6,0.1,44,0,7.9,40.5,11.2,11.2
"16","Colombia",0.1,1.6,0,0,0,1.4,5.2,3.3,0.6,2,80.9,92.8,0,0.6,0.5,7,7.2,0.7,91.1,92.5,0.2,95.9
"17","Comoros",22.6,0.4,3.7,2.1,6.3,2.3,0.8,20.7,8.8,16.4,13.8,91,24.1,2.9,0.3,0.5,8.9,3.7,64,80.8,6.6,66
"18","Congo",27,9.9,4.2,8.7,4.6,5.2,8.1,39,22.9,2.1,3.5,75.7,21.9,0,0,2.5,24.3,2.3,34.6,60.6,13.6,36.3
"19","Congo Democratic Republic",9.7,2.3,17.2,36.3,4,5.4,9.2,59.3,32.8,0,0.9,48.8,5.6,0,0,0.4,51.2,0.3,7,36.2,12.1,7.1
"20","Cote d'Ivoire",16.2,12,0.6,2.7,17.8,13.2,4.9,46.4,8.9,0,11.2,78.4,20.3,0,0,0.3,21.5,0.7,40.3,72.6,5.3,44.2
"21","Dominican Republic",0,1,0,0,0,0,0.7,12,1,2.9,4.1,98.7,6.6,0.4,6.1,77.8,1.3,0.5,86.1,97.6,0.9,86.9
"22","Egypt",3,0.5,0.1,0,0.5,0,0,6.1,0.6,0,90.6,99.6,0.4,1.7,0.1,2.7,0.4,0.4,93.1,98.9,0.6,93.2
"23","Eritrea",20.8,0,0,0,18.1,16.4,5.4,23,49.3,0,16.3,67.4,0,12.2,0,0,32.5,0.1,26.8,42.1,25.3,27.7
"24","Eswatini",17.6,6.9,1.7,3.4,4.3,9.3,15.6,42.5,14,0.5,17.4,71.4,21.3,1.6,0,0.1,28.6,0.3,42.6,66.6,4.5,43
"25","Ethiopia",17.7,11.1,11.7,20,5.9,4.1,10.7,51.2,28.2,0.5,0.9,65.2,13.4,0.2,0.2,0.2,34.8,0.1,19.5,50,15,20.3
"26","Gabon",20.2,0,3.6,0,3.1,1.5,4.7,23.1,9.9,1.2,25.4,93.1,38.4,0.1,0,1.1,6.7,0.5,65.2,84.7,7.2,65.6
"27","Gambia",32.8,8.8,0,0,7.4,8,0.1,48.7,4.5,0,3.4,91,38.2,0,0,0.4,8.9,0.8,43.7,86.4,4,46.1
"28","Ghana",14.6,19.4,0.1,0.6,4.1,1.8,4.4,46.3,6.7,1.2,2.7,93.1,5.4,0.2,0.1,1.1,6.9,0,46.1,87.3,5.6,46.6
"29","Guatemala",1.9,0,0.8,1.9,0,0,1.5,9.3,1.2,1.2,20,86.5,31.1,0.1,0,28.4,13.5,0.2,82.2,86.1,0.4,89.5
"30","Guinea",3.9,41.5,2.7,9.7,10.6,5.1,5.9,41.8,24.1,0.4,7.5,79.3,4.8,0.1,0.2,1.1,20.7,0,29.1,60.2,16.6,31
"31","Guyana",1.1,0,0.4,0.5,1.5,0.5,3.5,6.5,0.5,27.1,14,94.8,18.4,0.1,0.1,32.2,5.2,0.6,91.8,94.3,0.2,92.6
"32","Haiti",18.8,0,6.5,19.8,6.8,3.2,1.4,66.5,19.4,1.7,1.2,75.6,2.3,0.9,0.3,2.2,24.4,0,12.7,65.5,10.1,14
"33","Honduras",0.7,1.7,0,0,0,0,7.9,10.8,0.7,0.2,42.3,90.2,6.3,0.3,0,38.6,9.8,0.9,87.3,90,0.1,88.4
"34","India",15.9,39.2,0.3,0.4,3.7,4.2,0.7,31.4,2.3,0.2,16.6,94.5,13.6,1.3,0.2,3.1,5.5,0.2,64.4,92.7,1.8,66.3
"35","Indonesia",0.6,16.3,9.6,2.5,16.8,4.9,1.7,11.3,0.5,2.2,7.3,90.9,1.1,0.4,0.9,35,9.1,0,81.7,90,0.2,87.5
"36","Jordan",0,0,0,0.2,0,0,0,0.4,0.1,2.8,57.2,99.8,1,1,0,37.8,0.2,0,99.2,99.6,0.1,99.3
"37","Kazakhstan",7.6,0,0,0,0,28.9,1.3,26.4,2.9,0,49.5,69.4,9.2,3,0,0.1,30.6,0.5,59.3,68.4,0.8,70.1
"38","Kenya",18,7.3,8.3,2.2,7.9,2.4,16.8,39.5,12.1,5.5,10.3,78.3,13.9,1.6,1.6,3.8,21.7,0.3,45.4,71.6,6,47.5
