"","X","Country","ptap","bore","pspr","uspr","pwel","uwel","surw","tles","tmor","rain","phom","norm","distToCentroid","clusters"
"1",1,"Afghanistan",14.2,20.1,4.7,8.6,18.5,11.1,7.3,45.2,8.2,0.4,2.3,57.7596745143184,6.86003357503868,1
"2",2,"Albania",2.4,1.4,2.5,0.8,4.1,0.8,0,20.6,1.1,0,48.8,53.2829240939346,9.73544340996968,2
"3",3,"Angola",10.3,1.9,3.3,4.8,9.1,8.3,18,46.1,15.6,1.7,4.3,54.8569047613881,7.80301284947383,3
"4",4,"Armenia",0.5,0.2,1,0.1,0.2,0,0,1.6,0.1,0,88.3,88.32213765529,25.3037701513857,2
"5",5,"Azerbaijan",3.5,9.3,7.5,1.1,6.2,0.2,7,18.7,4.4,0,34,42.0562718271603,15.2888028266326,4
"6",6,"Bangladesh",2.7,86.4,0,0.3,0.2,0.6,1.2,22.7,1.6,0.4,4.3,89.502402202399,24.882694113042,1
"7",7,"Benin",13,28.9,0.3,1.2,4.4,20.8,5.8,49.8,12.1,0.4,5.1,64.3739077577243,0.245800331632751,1
"8",8,"Bolivia",5.3,0,0,0,1.7,6.2,5.2,11.2,0.7,0,24.6,28.7671687866568,1.99969978612901,4
"9",9,"Brazil",0,0,0,0,0,0,0,0,0,0,69.2,69.2,6.18163249609569,2
"10",10,"Burkina Faso",18.4,40.6,0.2,1.5,9,16.3,0.8,49.8,32.6,0,2.6,76.7209228307376,12.1012147413806,1
"11",11,"Burundi",24,0.6,47.9,10.9,1.8,1.7,4.3,64.9,25.5,0,1.1,88.756239217308,26.0963216064461,3
"12",12,"Cambodia",0.7,23,0.2,0.7,2.6,8.2,7.3,0,0,35.5,9.4,44.7874982556517,18.0200292551239,4
"13",13,"Cameroon",10.6,29.9,5.1,6,3.9,9.5,5.6,54.6,10.9,0.5,8.3,66.1385666612152,1.51885857185809,1
"14",14,"Central African Republic",14.6,0,0,0,0,0,9.4,75.1,17.4,0,0,79.020820041303,16.3609024304412,3
"15",15,"Chad",10.3,31.4,0.2,2.6,7.6,33,8.4,57.2,26,0,2.6,79.1881935644449,14.5684854750879,1
"16",16,"Colombia",0.1,1.6,0,0,0,1.4,5.2,3.3,0.6,2,80.9,81.1888539148078,18.1704864109035,2
"17",17,"Comoros",22.6,0.4,3.7,2.1,6.3,2.3,0.8,20.7,8.8,16.4,13.8,39.242451503442,12.4749825029143,4
"18",18,"Congo",27,9.9,4.2,8.7,4.6,5.2,8.1,39,22.9,2.1,3.5,55.6436878720309,7.01622973883098,3
"19",19,"Congo Democratic Republic",9.7,2.3,17.2,36.3,4,5.4,9.2,59.3,32.8,0,0.9,80.2237496007261,17.5638319898642,3
"20",20,"Cote d'Ivoire",16.2,12,0.6,2.7,17.8,13.2,4.9,46.4,8.9,0,11.2,57.3305328773421,7.28917521201499,1
"21",21,"Dominican Republic",0,1,0,0,0,0,0.7,12,1,2.9,4.1,13.1038162380278,13.6636527625,4
"22",22,"Egypt",3,0.5,0.1,0,0.5,0,0,6.1,0.6,0,90.6,90.859451902375,27.8410843984707,2
"23",23,"Eritrea",20.8,0,0,0,18.1,16.4,5.4,23,49.3,0,16.3,65.4488349781721,2.78891736731018,3
"24",24,"Eswatini",17.6,6.9,1.7,3.4,4.3,9.3,15.6,42.5,14,0.5,17.4,55.0038180492955,7.65609956156644,3
"25",25,"Ethiopia",17.7,11.1,11.7,20,5.9,4.1,10.7,51.2,28.2,0.5,0.9,67.5073329350227,4.84741532416081,3
"26",26,"Gabon",20.2,0,3.6,0,3.1,1.5,4.7,23.1,9.9,1.2,25.4,41.6313583732263,14.8638893726985,4
"27",27,"Gambia",32.8,8.8,0,0,7.4,8,0.1,48.7,4.5,0,3.4,60.6263144187406,2.03360319212124,3
"28",28,"Ghana",14.6,19.4,0.1,0.6,4.1,1.8,4.4,46.3,6.7,1.2,2.7,53.1658725123551,11.4538355770019,1
"29",29,"Guatemala",1.9,0,0.8,1.9,0,0,1.5,9.3,1.2,1.2,20,22.3490491967779,4.41841980374984,4
"30",30,"Guinea",3.9,41.5,2.7,9.7,10.6,5.1,5.9,41.8,24.1,0.4,7.5,66.3059575000618,1.68624941070472,1
"31",31,"Guyana",1.1,0,0.4,0.5,1.5,0.5,3.5,6.5,0.5,27.1,14,31.4528218129948,4.68535281246701,4
"32",32,"Haiti",18.8,0,6.5,19.8,6.8,3.2,1.4,66.5,19.4,1.7,1.2,75.1605614667693,12.5006438559074,3
"33",33,"Honduras",0.7,1.7,0,0,0,0,7.9,10.8,0.7,0.2,42.3,44.4100213915733,18.608346112331,2
"34",34,"India",15.9,39.2,0.3,0.4,3.7,4.2,0.7,31.4,2.3,0.2,16.6,55.5731050059289,9.04660308342816,1
"35",35,"Indonesia",0.6,16.3,9.6,2.5,16.8,4.9,1.7,11.3,0.5,2.2,7.3,29.3201296040792,2.55266060355141,4
"36",36,"Jordan",0,0,0,0.2,0,0,0,0.4,0.1,2.8,57.2,57.2703239033969,5.74804360050737,2
"37",37,"Kazakhstan",7.6,0,0,0,0,28.9,1.3,26.4,2.9,0,49.5,63.6418101565315,0.623442652627212,2
"38",38,"Kenya",18,7.3,8.3,2.2,7.9,2.4,16.8,39.5,12.1,5.5,10.3,51.4240216241398,11.2358959867221,3
"39",39,"Kyrgyz Republic",20.8,1.9,2,1.6,2.2,0.7,8.3,29.9,1.2,0,30.9,48.6548044904098,21.887335489882,4
